timedelta,symbol,commence
{Timedelta('0 days 05:40:00')},{'KNC-USD'},"{datetime.datetime(2024, 5, 5, 9, 42, 4)}"
{Timedelta('0 days 01:18:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 30, 9, 30, 19)}"
{Timedelta('0 days 00:10:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 5, 9, 24, 58)}"
{Timedelta('0 days 17:10:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 21, 18, 20, 35)}"
{Timedelta('1 days 11:05:00')},{'UNI-USD'},"{datetime.datetime(2024, 5, 4, 21, 20, 8)}"
{Timedelta('0 days 03:56:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 5, 11, 28, 4)}"
{Timedelta('1 days 12:25:00')},{'MDT-USD'},"{datetime.datetime(2024, 5, 14, 0, 16, 26)}"
{Timedelta('2 days 20:26:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 17, 23, 5, 28)}"
{Timedelta('0 days 03:40:00')},{'ILV-USD'},"{datetime.datetime(2024, 5, 29, 0, 45, 55)}"
{Timedelta('0 days 01:30:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 14, 2, 14, 52)}"
{Timedelta('0 days 00:56:00')},{'GODS-USD'},"{datetime.datetime(2024, 5, 25, 3, 14, 51)}"
{Timedelta('4 days 20:52:00')},{'ATOM-USD'},"{datetime.datetime(2024, 5, 12, 17, 9, 17)}"
{Timedelta('0 days 12:28:00')},{'BAND-USD'},"{datetime.datetime(2024, 5, 13, 23, 7, 9)}"
{Timedelta('0 days 06:25:00')},{'DIA-USD'},"{datetime.datetime(2024, 5, 30, 7, 31, 35)}"
{Timedelta('0 days 08:25:00')},{'NEAR-USD'},"{datetime.datetime(2024, 5, 20, 7, 36, 23)}"
{Timedelta('0 days 17:55:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 24, 23, 39, 50)}"
{Timedelta('0 days 00:05:00')},{'FIS-USD'},"{datetime.datetime(2024, 5, 23, 21, 26, 55)}"
{Timedelta('0 days 02:13:00')},{'XTZ-USD'},"{datetime.datetime(2024, 5, 14, 23, 50, 21)}"
{Timedelta('0 days 02:00:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 20, 8, 57, 30)}"
{Timedelta('0 days 00:22:00')},{'CELR-USD'},"{datetime.datetime(2024, 5, 15, 0, 50, 48)}"
{Timedelta('0 days 02:25:00')},{'OP-USD'},"{datetime.datetime(2024, 5, 20, 8, 21, 15)}"
{Timedelta('3 days 21:30:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 11, 20, 16, 46)}"
{Timedelta('2 days 03:05:00')},{'AVT-USD'},"{datetime.datetime(2024, 5, 13, 18, 53, 51)}"
{Timedelta('0 days 00:12:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 30, 8, 15, 27)}"
{Timedelta('2 days 10:40:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 25, 1, 53, 39)}"
{Timedelta('0 days 03:03:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 5, 11, 53, 31)}"
{Timedelta('1 days 16:25:00')},{'APE-USD'},"{datetime.datetime(2024, 5, 13, 22, 23, 55)}"
{Timedelta('1 days 11:23:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 4, 20, 58, 1)}"
{Timedelta('0 days 22:15:00')},{'LQTY-USD'},"{datetime.datetime(2024, 5, 16, 9, 56, 30)}"
{Timedelta('3 days 22:10:00')},{'ENS-USD'},"{datetime.datetime(2024, 5, 11, 19, 0, 47)}"
{Timedelta('0 days 04:15:00')},{'LOKA-USD'},"{datetime.datetime(2024, 5, 5, 18, 50, 21)}"
{Timedelta('0 days 02:35:00')},{'AVT-USD'},"{datetime.datetime(2024, 5, 26, 11, 27, 40)}"
{Timedelta('2 days 16:39:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 24, 23, 6, 3)}"
{Timedelta('0 days 00:19:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 5, 9, 47, 20)}"
{Timedelta('0 days 18:40:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 23, 22, 36, 59)}"
{Timedelta('0 days 00:48:00')},{'LINK-USD'},"{datetime.datetime(2024, 5, 30, 16, 43, 7)}"
{Timedelta('0 days 04:05:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 5, 21, 1, 15)}"
{Timedelta('0 days 01:27:00')},{'MTL-USD'},"{datetime.datetime(2024, 5, 11, 18, 30, 37)}"
{Timedelta('1 days 12:25:00')},{'00-USD'},"{datetime.datetime(2024, 5, 19, 10, 57, 37)}"
{Timedelta('0 days 04:50:00')},{'SPELL-USD'},"{datetime.datetime(2024, 5, 29, 0, 11, 19)}"
{Timedelta('1 days 08:20:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 19, 11, 46, 15)}"
{Timedelta('0 days 04:45:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 15, 7, 49, 50)}"
{Timedelta('1 days 05:41:00')},{'BIGTIME-USD'},"{datetime.datetime(2024, 5, 16, 9, 46, 47)}"
{Timedelta('1 days 14:22:00')},{'COTI-USD'},"{datetime.datetime(2024, 5, 13, 22, 23, 5)}"
{Timedelta('0 days 00:25:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 26, 13, 40, 34)}"
{Timedelta('0 days 02:10:00')},{'COTI-USD'},"{datetime.datetime(2024, 5, 14, 23, 5, 53)}"
{Timedelta('0 days 04:55:00')},{'WCFG-USD'},"{datetime.datetime(2024, 5, 21, 17, 57, 49)}"
{Timedelta('1 days 15:10:00')},{'METIS-USD'},"{datetime.datetime(2024, 5, 13, 23, 20, 14)}"
{Timedelta('0 days 00:40:00')},{'LPT-USD'},"{datetime.datetime(2024, 6, 1, 17, 44, 8)}"
{Timedelta('0 days 16:30:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 4, 22, 31, 57)}"
{Timedelta('1 days 03:56:00')},{'VET-USD'},"{datetime.datetime(2024, 5, 23, 22, 19, 4)}"
{Timedelta('0 days 16:54:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 23, 22, 16, 32)}"
{Timedelta('4 days 02:15:00')},{'MPL-USD'},"{datetime.datetime(2024, 5, 11, 21, 59, 5)}"
{Timedelta('0 days 02:25:00')},{'METIS-USD'},"{datetime.datetime(2024, 5, 25, 22, 51, 5)}"
{Timedelta('0 days 02:56:00')},{'FET-USD'},"{datetime.datetime(2024, 5, 5, 10, 26, 52)}"
{Timedelta('2 days 01:27:00')},{'QNT-USD'},"{datetime.datetime(2024, 5, 18, 18, 1, 18)}"
{Timedelta('0 days 14:03:00')},{'ZRX-USD'},"{datetime.datetime(2024, 5, 5, 18, 21, 36)}"
{Timedelta('4 days 01:55:00')},{'KAVA-USD'},"{datetime.datetime(2024, 5, 11, 17, 47, 53)}"
{Timedelta('1 days 04:14:00')},{'WCFG-USD'},"{datetime.datetime(2024, 5, 4, 21, 0, 3)}"
{Timedelta('0 days 00:50:00')},{'OGN-USD'},"{datetime.datetime(2024, 5, 24, 23, 11, 7)}"
{Timedelta('0 days 12:04:00')},{'BONK-USD'},"{datetime.datetime(2024, 5, 13, 17, 39, 28)}"
{Timedelta('0 days 12:59:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 5, 19, 4, 20)}"
{Timedelta('0 days 05:41:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 30, 7, 31, 50)}"
{Timedelta('1 days 03:51:00')},{'FOX-USD'},"{datetime.datetime(2024, 5, 16, 8, 51, 56)}"
{Timedelta('0 days 06:34:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 14, 22, 37, 39)}"
{Timedelta('0 days 04:10:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 19, 10, 36, 3)}"
{Timedelta('0 days 19:20:00')},{'AST-USD'},"{datetime.datetime(2024, 5, 4, 22, 5, 59)}"
{Timedelta('0 days 00:29:00')},{'COTI-USD'},"{datetime.datetime(2024, 5, 20, 7, 4, 6)}"
{Timedelta('0 days 06:40:00')},{'CELR-USD'},"{datetime.datetime(2024, 5, 5, 18, 29, 20)}"
{Timedelta('0 days 10:45:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 28, 22, 50, 17)}"
{Timedelta('0 days 19:30:00')},{'RAD-USD'},"{datetime.datetime(2024, 5, 12, 18, 3, 23)}"
{Timedelta('0 days 01:50:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 23, 22, 58, 43)}"
{Timedelta('0 days 02:20:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 24, 23, 46, 56)}"
{Timedelta('0 days 05:30:00')},{'APE-USD'},"{datetime.datetime(2024, 5, 29, 0, 1, 39)}"
{Timedelta('0 days 04:45:00')},{'COVAL-USD'},"{datetime.datetime(2024, 5, 15, 7, 49, 10)}"
{Timedelta('0 days 13:46:00')},{'EOS-USD'},"{datetime.datetime(2024, 5, 14, 22, 44, 33)}"
{Timedelta('0 days 01:30:00')},{'INDEX-USD'},"{datetime.datetime(2024, 5, 30, 6, 37, 38)}"
{Timedelta('0 days 00:20:00')},{'AVT-USD'},"{datetime.datetime(2024, 5, 13, 16, 15, 3)}"
{Timedelta('1 days 04:00:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 19, 12, 43, 12)}"
{Timedelta('0 days 05:26:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 5, 11, 56, 34)}"
{Timedelta('0 days 17:10:00')},{'PYR-USD'},"{datetime.datetime(2024, 5, 11, 21, 14, 13)}"
{Timedelta('1 days 05:31:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 16, 9, 52, 52)}"
{Timedelta('1 days 13:06:00')},{'ARB-USD'},"{datetime.datetime(2024, 5, 17, 21, 32, 31)}"
{Timedelta('2 days 03:16:00')},{'VELO-USD'},"{datetime.datetime(2024, 5, 16, 9, 19, 18)}"
{Timedelta('0 days 00:15:00')},{'00-USD'},"{datetime.datetime(2024, 5, 25, 22, 51, 21)}"
{Timedelta('0 days 05:50:00')},{'KNC-USD'},"{datetime.datetime(2024, 5, 5, 9, 15, 50)}"
{Timedelta('0 days 03:10:00')},{'TRB-USD'},"{datetime.datetime(2024, 5, 5, 10, 4, 58)}"
{Timedelta('0 days 08:46:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 5, 21, 26, 46)}"
{Timedelta('1 days 23:30:00')},{'DIA-USD'},"{datetime.datetime(2024, 5, 19, 10, 43, 48)}"
{Timedelta('0 days 18:45:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 4, 20, 38, 39)}"
{Timedelta('2 days 08:05:00')},{'ZEC-USD'},"{datetime.datetime(2024, 5, 30, 16, 46, 27)}"
{Timedelta('1 days 23:53:00')},{'CTSI-USD'},"{datetime.datetime(2024, 5, 18, 19, 32, 9)}"
{Timedelta('0 days 04:55:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 29, 0, 50, 23)}"
{Timedelta('0 days 05:43:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 23, 22, 33, 4)}"
{Timedelta('0 days 06:31:00')},{'SOL-USD'},"{datetime.datetime(2024, 5, 13, 22, 47, 1)}"
{Timedelta('0 days 11:43:00')},{'SOL-USD'},"{datetime.datetime(2024, 5, 21, 18, 5, 38)}"
{Timedelta('3 days 21:05:00')},{'LCX-USD'},"{datetime.datetime(2024, 5, 11, 17, 13, 55)}"
{Timedelta('0 days 06:35:00')},{'NCT-USD'},"{datetime.datetime(2024, 5, 5, 10, 26, 18)}"
{Timedelta('0 days 04:13:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 14, 1, 5, 42)}"
{Timedelta('0 days 01:37:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 12, 7, 47, 11)}"
{Timedelta('1 days 11:10:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 4, 20, 56, 51)}"
{Timedelta('1 days 04:51:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 12, 11, 48, 42)}"
{Timedelta('0 days 10:53:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 4, 23, 31, 50)}"
{Timedelta('0 days 11:06:00')},{'CTSI-USD'},"{datetime.datetime(2024, 5, 4, 22, 6, 59)}"
{Timedelta('0 days 04:11:00')},{'ALICE-USD'},"{datetime.datetime(2024, 5, 26, 11, 22, 31)}"
{Timedelta('0 days 05:13:00')},{'ICP-USD'},"{datetime.datetime(2024, 5, 13, 22, 23, 43)}"
{Timedelta('0 days 15:20:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 25, 1, 56, 14)}"
{Timedelta('0 days 02:35:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 5, 20, 50, 34)}"
{Timedelta('4 days 00:47:00')},{'KAVA-USD'},"{datetime.datetime(2024, 5, 11, 18, 55, 38)}"
{Timedelta('0 days 02:00:00')},{'ASM-USD'},"{datetime.datetime(2024, 5, 28, 22, 53, 35)}"
{Timedelta('0 days 14:47:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 27, 21, 8, 18)}"
{Timedelta('1 days 14:58:00')},{'BNT-USD'},"{datetime.datetime(2024, 5, 21, 16, 48, 15)}"
{Timedelta('1 days 18:50:00')},{'AUDIO-USD'},"{datetime.datetime(2024, 5, 13, 17, 56, 33)}"
{Timedelta('0 days 13:05:00')},{'XCN-USD'},"{datetime.datetime(2024, 5, 5, 18, 59, 34)}"
{Timedelta('0 days 00:35:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 18, 18, 13, 25)}"
{Timedelta('0 days 05:50:00')},{'BIGTIME-USD'},"{datetime.datetime(2024, 5, 20, 9, 25, 57)}"
{Timedelta('1 days 14:25:00')},{'AUDIO-USD'},"{datetime.datetime(2024, 5, 13, 22, 21, 5)}"
{Timedelta('0 days 08:31:00')},{'KAVA-USD'},"{datetime.datetime(2024, 5, 14, 22, 32, 36)}"
{Timedelta('0 days 07:35:00')},{'MDT-USD'},"{datetime.datetime(2024, 5, 20, 8, 7, 16)}"
{Timedelta('2 days 02:24:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 18, 17, 8, 26)}"
{Timedelta('0 days 00:05:00')},{'STX-USD'},"{datetime.datetime(2024, 5, 23, 22, 9, 53)}"
{Timedelta('0 days 02:45:00')},{'PYR-USD'},"{datetime.datetime(2024, 5, 14, 22, 34, 22)}"
{Timedelta('0 days 09:40:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 18, 16, 51, 8)}"
{Timedelta('0 days 01:40:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 25, 9, 36, 18)}"
{Timedelta('0 days 00:15:00')},{'RARE-USD'},"{datetime.datetime(2024, 5, 5, 20, 36, 6)}"
{Timedelta('0 days 00:40:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 15, 0, 42, 8)}"
{Timedelta('0 days 12:31:00')},{'STX-USD'},"{datetime.datetime(2024, 5, 29, 1, 23)}"
{Timedelta('0 days 00:35:00')},{'BIGTIME-USD'},"{datetime.datetime(2024, 5, 20, 6, 52, 49)}"
{Timedelta('0 days 02:36:00')},{'MANA-USD'},"{datetime.datetime(2024, 5, 24, 23, 15, 53)}"
{Timedelta('0 days 11:00:00')},{'MSOL-USD'},"{datetime.datetime(2024, 5, 11, 17, 54, 7)}"
{Timedelta('1 days 13:41:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 13, 23, 10, 22)}"
{Timedelta('1 days 04:10:00')},{'AGLD-USD'},"{datetime.datetime(2024, 5, 16, 8, 38, 10)}"
{Timedelta('0 days 03:25:00')},{'MATH-USD'},"{datetime.datetime(2024, 5, 26, 11, 25, 21)}"
