timedelta,symbol,commence
{Timedelta('0 days 02:44:00')},{'NMR-USD'},"{datetime.datetime(2024, 5, 20, 7, 25, 28)}"
{Timedelta('0 days 07:35:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 5, 9, 1, 29)}"
{Timedelta('0 days 06:40:00')},{'DIMO-USD'},"{datetime.datetime(2024, 5, 30, 7, 26, 18)}"
{Timedelta('1 days 13:20:00')},{'TRU-USD'},"{datetime.datetime(2024, 5, 14, 2, 36, 4)}"
{Timedelta('0 days 05:25:00')},{'DIA-USD'},"{datetime.datetime(2024, 5, 5, 19, 27, 3)}"
{Timedelta('0 days 02:54:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 30, 7, 39, 35)}"
{Timedelta('0 days 00:55:00')},{'METIS-USD'},"{datetime.datetime(2024, 5, 30, 7, 48, 56)}"
{Timedelta('0 days 14:05:00')},{'AERGO-USD'},"{datetime.datetime(2024, 5, 14, 22, 26, 18)}"
{Timedelta('0 days 04:05:00')},{'FET-USD'},"{datetime.datetime(2024, 5, 5, 19, 13, 48)}"
{Timedelta('0 days 05:16:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 5, 10, 32, 56)}"
{Timedelta('0 days 06:55:00')},{'MPL-USD'},"{datetime.datetime(2024, 5, 28, 22, 50, 20)}"
{Timedelta('0 days 07:38:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 14, 22, 52, 27)}"
{Timedelta('0 days 00:30:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 17, 6, 36, 55)}"
{Timedelta('2 days 15:45:00')},{'SHPING-USD'},"{datetime.datetime(2024, 5, 25, 1, 40, 49)}"
{Timedelta('0 days 04:50:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 24, 23, 18, 59)}"
{Timedelta('0 days 19:20:00')},{'XYO-USD'},"{datetime.datetime(2024, 5, 23, 22, 36, 34)}"
{Timedelta('0 days 04:38:00')},{'ALGO-USD'},"{datetime.datetime(2024, 5, 14, 22, 27, 29)}"
{Timedelta('0 days 04:30:00')},{'INDEX-USD'},"{datetime.datetime(2024, 5, 11, 18, 12, 15)}"
{Timedelta('0 days 03:25:00')},{'00-USD'},"{datetime.datetime(2024, 5, 4, 21, 1, 30)}"
{Timedelta('0 days 06:55:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 18, 19, 14, 48)}"
{Timedelta('1 days 02:45:00')},{'PUNDIX-USD'},"{datetime.datetime(2024, 5, 26, 13, 25, 28)}"
{Timedelta('0 days 04:15:00')},{'LCX-USD'},"{datetime.datetime(2024, 5, 5, 9, 0, 32)}"
{Timedelta('1 days 05:59:00')},{'MLN-USD'},"{datetime.datetime(2024, 5, 13, 22, 40, 10)}"
{Timedelta('0 days 16:00:00')},{'DIA-USD'},"{datetime.datetime(2024, 5, 4, 22, 58, 28)}"
{Timedelta('0 days 07:47:00')},{'ANKR-USD'},"{datetime.datetime(2024, 5, 18, 16, 56, 14)}"
{Timedelta('0 days 11:37:00')},{'CTSI-USD'},"{datetime.datetime(2024, 5, 4, 21, 35, 59)}"
{Timedelta('0 days 05:26:00')},{'ZEC-USD'},"{datetime.datetime(2024, 5, 5, 19, 19, 25)}"
{Timedelta('1 days 15:10:00')},{'KRL-USD'},"{datetime.datetime(2024, 5, 14, 1, 4, 30)}"
{Timedelta('0 days 02:30:00')},{'ORN-USD'},"{datetime.datetime(2024, 5, 24, 23, 21, 13)}"
{Timedelta('0 days 09:25:00')},{'MLN-USD'},"{datetime.datetime(2024, 5, 20, 6, 38, 30)}"
{Timedelta('1 days 08:10:00')},{'XYO-USD'},"{datetime.datetime(2024, 5, 19, 11, 15, 52)}"
{Timedelta('0 days 06:20:00')},{'WCFG-USD'},"{datetime.datetime(2024, 5, 5, 9, 7, 18)}"
{Timedelta('0 days 13:45:00')},{'UNI-USD'},"{datetime.datetime(2024, 5, 5, 18, 36, 41)}"
{Timedelta('0 days 07:51:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 20, 7, 36, 5)}"
{Timedelta('0 days 00:15:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 16, 7, 54, 47)}"
{Timedelta('1 days 09:25:00')},{'SUKU-USD'},"{datetime.datetime(2024, 5, 19, 10, 11, 26)}"
{Timedelta('1 days 03:25:00')},{'KRL-USD'},"{datetime.datetime(2024, 5, 26, 11, 40, 55)}"
{Timedelta('0 days 18:20:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 4, 20, 58, 29)}"
{Timedelta('0 days 11:55:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 5, 20, 28, 47)}"
{Timedelta('0 days 01:36:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 17, 18, 4, 20)}"
{Timedelta('0 days 03:36:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 25, 1, 51, 48)}"
{Timedelta('0 days 11:55:00')},{'MNDE-USD'},"{datetime.datetime(2024, 5, 20, 6, 58, 19)}"
{Timedelta('0 days 03:10:00')},{'ALICE-USD'},"{datetime.datetime(2024, 5, 30, 6, 59, 35)}"
{Timedelta('0 days 02:33:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 23, 22, 9, 48)}"
{Timedelta('1 days 13:25:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 21, 17, 41, 14)}"
{Timedelta('1 days 14:46:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 14, 0, 21)}"
{Timedelta('0 days 11:02:00')},{'MLN-USD'},"{datetime.datetime(2024, 5, 29, 0, 4, 19)}"
{Timedelta('0 days 02:51:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 5, 10, 30, 23)}"
{Timedelta('0 days 11:54:00')},{'BLZ-USD'},"{datetime.datetime(2024, 5, 13, 17, 20, 20)}"
{Timedelta('0 days 00:20:00')},{'ONDO-USD'},"{datetime.datetime(2024, 5, 23, 22, 25, 21)}"
{Timedelta('0 days 01:45:00')},{'APE-USD'},"{datetime.datetime(2024, 5, 13, 22, 59, 5)}"
{Timedelta('0 days 03:48:00')},{'SNX-USD'},"{datetime.datetime(2024, 5, 14, 23, 15, 51)}"
{Timedelta('0 days 02:15:00')},{'PRQ-USD'},"{datetime.datetime(2024, 5, 15, 0, 56, 39)}"
{Timedelta('1 days 02:25:00')},{'ARKM-USD'},"{datetime.datetime(2024, 5, 26, 11, 30, 40)}"
{Timedelta('1 days 10:56:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 4, 21, 7, 54)}"
{Timedelta('0 days 01:40:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 30, 16, 47, 11)}"
{Timedelta('0 days 11:16:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 14, 22, 32, 40)}"
{Timedelta('0 days 14:10:00')},{'UNI-USD'},"{datetime.datetime(2024, 5, 5, 18, 12, 13)}"
{Timedelta('0 days 05:56:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 5, 18, 47, 2)}"
{Timedelta('0 days 04:15:00')},{'IDEX-USD'},"{datetime.datetime(2024, 5, 17, 22, 2, 46)}"
{Timedelta('0 days 10:50:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 25, 0, 1, 4)}"
{Timedelta('0 days 16:30:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 5, 15, 57, 22)}"
{Timedelta('0 days 10:40:00')},{'NEAR-USD'},"{datetime.datetime(2024, 5, 18, 16, 18, 27)}"
{Timedelta('0 days 17:02:00')},{'FIL-USD'},"{datetime.datetime(2024, 5, 4, 22, 29, 56)}"
{Timedelta('0 days 12:53:00')},{'ENJ-USD'},"{datetime.datetime(2024, 5, 5, 18, 34, 10)}"
{Timedelta('0 days 08:45:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 13, 17, 42, 15)}"
{Timedelta('0 days 18:04:00')},{'FIL-USD'},"{datetime.datetime(2024, 5, 4, 21, 59, 51)}"
{Timedelta('0 days 04:55:00')},{'LCX-USD'},"{datetime.datetime(2024, 5, 14, 6, 43, 19)}"
{Timedelta('3 days 20:45:00')},{'BOBA-USD'},"{datetime.datetime(2024, 5, 13, 16, 17, 57)}"
{Timedelta('0 days 02:07:00')},{'ANKR-USD'},"{datetime.datetime(2024, 5, 5, 12, 38, 6)}"
{Timedelta('0 days 18:50:00')},{'APT-USD'},"{datetime.datetime(2024, 5, 28, 22, 53, 31)}"
{Timedelta('0 days 06:05:00')},{'MPL-USD'},"{datetime.datetime(2024, 5, 16, 10, 3, 23)}"
{Timedelta('1 days 10:24:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 4, 21, 59, 57)}"
{Timedelta('0 days 05:00:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 30, 7, 40, 25)}"
{Timedelta('0 days 13:55:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 26, 11, 54, 8)}"
{Timedelta('0 days 05:10:00')},{'AKT-USD'},"{datetime.datetime(2024, 5, 21, 17, 29, 11)}"
{Timedelta('1 days 12:32:00')},{'MKR-USD'},"{datetime.datetime(2024, 5, 13, 19, 3, 45)}"
{Timedelta('2 days 00:00:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 18, 16, 23, 58)}"
{Timedelta('0 days 08:46:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 20, 6, 41, 27)}"
{Timedelta('0 days 01:30:00')},{'GODS-USD'},"{datetime.datetime(2024, 5, 24, 23, 17, 6)}"
{Timedelta('1 days 15:51:00')},{'ALEPH-USD'},"{datetime.datetime(2024, 5, 16, 10, 18, 57)}"
{Timedelta('0 days 10:25:00')},{'METIS-USD'},"{datetime.datetime(2024, 5, 17, 17, 40, 10)}"
{Timedelta('1 days 11:40:00')},{'BNT-USD'},"{datetime.datetime(2024, 5, 18, 16, 56, 6)}"
{Timedelta('0 days 15:40:00')},{'COVAL-USD'},"{datetime.datetime(2024, 5, 19, 13, 18, 54)}"
{Timedelta('1 days 23:30:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 18, 15, 57, 36)}"
{Timedelta('0 days 03:20:00')},{'MSOL-USD'},"{datetime.datetime(2024, 5, 15, 0, 7, 4)}"
{Timedelta('1 days 01:55:00')},{'AST-USD'},"{datetime.datetime(2024, 5, 4, 22, 13, 1)}"
{Timedelta('0 days 06:00:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 5, 18, 36, 8)}"
{Timedelta('4 days 12:15:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 16, 10, 32, 31)}"
{Timedelta('0 days 11:10:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 28, 22, 33, 54)}"
{Timedelta('0 days 01:51:00')},{'XCN-USD'},"{datetime.datetime(2024, 5, 21, 21, 37, 12)}"
{Timedelta('4 days 14:05:00')},{'DESO-USD'},"{datetime.datetime(2024, 5, 5, 18, 52, 50)}"
{Timedelta('0 days 07:15:00')},{'C98-USD'},"{datetime.datetime(2024, 5, 20, 8, 51, 58)}"
{Timedelta('0 days 11:29:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 14, 22, 25, 21)}"
{Timedelta('1 days 06:36:00')},{'ALICE-USD'},"{datetime.datetime(2024, 5, 19, 10, 43, 55)}"
{Timedelta('0 days 06:47:00')},{'ZRX-USD'},"{datetime.datetime(2024, 5, 30, 7, 4, 15)}"
{Timedelta('0 days 03:00:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 30, 7, 0, 1)}"
{Timedelta('0 days 02:50:00')},{'AST-USD'},"{datetime.datetime(2024, 5, 25, 0, 10, 20)}"
{Timedelta('0 days 06:33:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 5, 9, 21, 18)}"
{Timedelta('0 days 06:31:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 13, 19, 7, 51)}"
{Timedelta('1 days 08:45:00')},{'LQTY-USD'},"{datetime.datetime(2024, 5, 19, 10, 39, 3)}"
{Timedelta('0 days 03:20:00')},{'MINA-USD'},"{datetime.datetime(2024, 5, 20, 7, 20, 55)}"
{Timedelta('0 days 05:33:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 5, 9, 16, 16)}"
{Timedelta('0 days 07:55:00')},{'GFI-USD'},"{datetime.datetime(2024, 5, 11, 19, 16, 59)}"
{Timedelta('1 days 09:50:00')},{'AUCTION-USD'},"{datetime.datetime(2024, 5, 19, 9, 35, 25)}"
{Timedelta('0 days 05:31:00')},{'UMA-USD'},"{datetime.datetime(2024, 5, 30, 6, 41, 17)}"
{Timedelta('0 days 07:40:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 30, 8, 22, 2)}"
{Timedelta('0 days 00:33:00')},{'GLM-USD'},"{datetime.datetime(2024, 5, 24, 23, 58, 32)}"
{Timedelta('1 days 21:55:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 13, 18, 16, 16)}"
{Timedelta('1 days 11:42:00')},{'EGLD-USD'},"{datetime.datetime(2024, 5, 14, 1, 41, 10)}"
{Timedelta('0 days 13:15:00')},{'DAR-USD'},"{datetime.datetime(2024, 5, 5, 19, 5, 29)}"
{Timedelta('0 days 08:42:00')},{'ARB-USD'},"{datetime.datetime(2024, 5, 16, 19, 1, 17)}"
{Timedelta('0 days 01:15:00')},{'ARKM-USD'},"{datetime.datetime(2024, 5, 25, 2, 50, 19)}"
{Timedelta('0 days 10:25:00')},{'KRL-USD'},"{datetime.datetime(2024, 5, 30, 6, 54, 44)}"
{Timedelta('0 days 07:10:00')},{'FARM-USD'},"{datetime.datetime(2024, 5, 30, 7, 4, 19)}"
{Timedelta('0 days 10:04:00')},{'SHPING-USD'},"{datetime.datetime(2024, 5, 30, 8, 32)}"
{Timedelta('1 days 04:56:00')},{'AERGO-USD'},"{datetime.datetime(2024, 5, 16, 10, 31, 20)}"
{Timedelta('0 days 01:15:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 25, 1, 40, 47)}"
{Timedelta('0 days 05:45:00')},{'LDO-USD'},"{datetime.datetime(2024, 5, 5, 9, 11, 52)}"
{Timedelta('0 days 17:25:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 4, 22, 30, 57)}"
{Timedelta('3 days 21:49:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 11, 20, 36, 52)}"
{Timedelta('0 days 02:40:00')},{'LOKA-USD'},"{datetime.datetime(2024, 5, 14, 22, 26, 33)}"
{Timedelta('0 days 03:00:00')},{'ASM-USD'},"{datetime.datetime(2024, 5, 5, 9, 11, 17)}"
{Timedelta('0 days 09:55:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 13, 16, 37, 22)}"
{Timedelta('0 days 00:35:00')},{'LDO-USD'},"{datetime.datetime(2024, 5, 14, 2, 0, 8)}"
{Timedelta('0 days 06:02:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 13, 23, 19, 18)}"
{Timedelta('0 days 03:45:00')},{'TIA-USD'},"{datetime.datetime(2024, 5, 26, 11, 27, 59)}"
{Timedelta('0 days 22:55:00')},{'EOS-USD'},"{datetime.datetime(2024, 5, 16, 8, 21, 51)}"
{Timedelta('0 days 08:05:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 13, 18, 24, 51)}"
{Timedelta('1 days 00:45:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 5, 9, 16, 56)}"
{Timedelta('0 days 05:50:00')},{'PYR-USD'},"{datetime.datetime(2024, 5, 5, 9, 22, 11)}"
{Timedelta('1 days 05:15:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 4, 21, 36, 7)}"
{Timedelta('0 days 12:15:00')},{'LCX-USD'},"{datetime.datetime(2024, 5, 20, 7, 8, 39)}"
{Timedelta('1 days 05:30:00')},{'APT-USD'},"{datetime.datetime(2024, 5, 30, 7, 59, 57)}"
{Timedelta('3 days 21:50:00')},{'IOTX-USD'},"{datetime.datetime(2024, 5, 21, 22, 12, 29)}"
{Timedelta('0 days 01:00:00')},{'NMR-USD'},"{datetime.datetime(2024, 5, 26, 14, 1, 37)}"
{Timedelta('0 days 13:10:00')},{'EGLD-USD'},"{datetime.datetime(2024, 5, 26, 12, 29, 11)}"
{Timedelta('0 days 02:13:00')},{'EGLD-USD'},"{datetime.datetime(2024, 5, 13, 22, 26, 8)}"
{Timedelta('0 days 20:45:00')},{'POLS-USD'},"{datetime.datetime(2024, 5, 25, 1, 18, 17)}"
{Timedelta('0 days 01:43:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 13, 22, 55, 38)}"
{Timedelta('0 days 12:40:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 5, 18, 47, 27)}"
{Timedelta('1 days 13:35:00')},{'BLZ-USD'},"{datetime.datetime(2024, 5, 4, 21, 48, 24)}"
{Timedelta('0 days 02:02:00')},{'NMR-USD'},"{datetime.datetime(2024, 5, 20, 8, 13, 50)}"
{Timedelta('0 days 23:31:00')},{'ARKM-USD'},"{datetime.datetime(2024, 5, 16, 8, 40, 9)}"
{Timedelta('0 days 06:21:00')},{'ZEC-USD'},"{datetime.datetime(2024, 5, 5, 18, 27, 16)}"
{Timedelta('0 days 00:05:00')},{'ASM-USD'},"{datetime.datetime(2024, 5, 11, 17, 46, 20)}"
{Timedelta('4 days 14:26:00')},{'ALICE-USD'},"{datetime.datetime(2024, 5, 11, 17, 41, 11)}"
{Timedelta('0 days 22:55:00')},{'BONK-USD'},"{datetime.datetime(2024, 5, 5, 9, 31, 17)}"
{Timedelta('0 days 13:10:00')},{'AST-USD'},"{datetime.datetime(2024, 5, 11, 21, 13, 27)}"
{Timedelta('1 days 22:05:00')},{'BIGTIME-USD'},"{datetime.datetime(2024, 5, 13, 19, 4, 14)}"
{Timedelta('0 days 06:44:00')},{'JASMY-USD'},"{datetime.datetime(2024, 5, 14, 22, 43, 18)}"
{Timedelta('1 days 07:09:00')},{'XCN-USD'},"{datetime.datetime(2024, 5, 16, 8, 4, 41)}"
{Timedelta('2 days 10:30:00')},{'BONK-USD'},"{datetime.datetime(2024, 5, 13, 17, 1, 14)}"
{Timedelta('0 days 04:11:00')},{'MANA-USD'},"{datetime.datetime(2024, 5, 28, 23, 16, 39)}"
{Timedelta('0 days 17:29:00')},{'BNT-USD'},"{datetime.datetime(2024, 5, 24, 0, 37, 37)}"
{Timedelta('2 days 00:21:00')},{'HBAR-USD'},"{datetime.datetime(2024, 5, 18, 19, 16, 22)}"
{Timedelta('0 days 01:28:00')},{'VET-USD'},"{datetime.datetime(2024, 5, 26, 13, 19, 7)}"
{Timedelta('0 days 01:55:00')},{'ASM-USD'},"{datetime.datetime(2024, 5, 25, 4, 18, 51)}"
{Timedelta('0 days 01:40:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 20, 7, 15, 57)}"
{Timedelta('1 days 15:43:00')},{'ICP-USD'},"{datetime.datetime(2024, 5, 11, 17, 44, 48)}"
{Timedelta('1 days 11:20:00')},{'COVAL-USD'},"{datetime.datetime(2024, 5, 31, 13, 32, 40)}"
{Timedelta('1 days 22:45:00')},{'LIT-USD'},"{datetime.datetime(2024, 5, 18, 18, 35, 58)}"
{Timedelta('0 days 06:35:00')},{'FIDA-USD'},"{datetime.datetime(2024, 5, 30, 6, 40, 40)}"
{Timedelta('0 days 00:15:00')},{'JASMY-USD'},"{datetime.datetime(2024, 5, 5, 18, 36, 21)}"
{Timedelta('0 days 09:39:00')},{'KAVA-USD'},"{datetime.datetime(2024, 5, 15, 0, 9, 1)}"
{Timedelta('0 days 09:05:00')},{'GFI-USD'},"{datetime.datetime(2024, 5, 11, 18, 7, 39)}"
{Timedelta('1 days 04:20:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 26, 12, 8, 56)}"
{Timedelta('3 days 19:50:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 11, 17, 43, 57)}"
{Timedelta('0 days 23:10:00')},{'TIA-USD'},"{datetime.datetime(2024, 5, 4, 22, 39, 44)}"
{Timedelta('1 days 09:05:00')},{'FIS-USD'},"{datetime.datetime(2024, 5, 19, 10, 26, 32)}"
{Timedelta('0 days 09:00:00')},{'OGN-USD'},"{datetime.datetime(2024, 5, 20, 7, 8, 43)}"
{Timedelta('0 days 00:17:00')},{'HNT-USD'},"{datetime.datetime(2024, 5, 19, 10, 19, 37)}"
{Timedelta('0 days 12:51:00')},{'BNT-USD'},"{datetime.datetime(2024, 5, 20, 6, 46, 28)}"
{Timedelta('0 days 03:30:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 5, 11, 9, 36)}"
{Timedelta('1 days 11:03:00')},{'ZEC-USD'},"{datetime.datetime(2024, 5, 4, 20, 57, 17)}"
{Timedelta('0 days 00:05:00')},{'AERGO-USD'},"{datetime.datetime(2024, 5, 13, 17, 43, 40)}"
{Timedelta('1 days 18:55:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 11, 18, 11, 36)}"
{Timedelta('0 days 01:55:00')},{'COVAL-USD'},"{datetime.datetime(2024, 5, 5, 17, 42, 42)}"
{Timedelta('1 days 03:25:00')},{'TRAC-USD'},"{datetime.datetime(2024, 5, 16, 9, 46, 54)}"
{Timedelta('0 days 02:20:00')},{'NCT-USD'},"{datetime.datetime(2024, 5, 5, 13, 9, 24)}"
{Timedelta('0 days 11:15:00')},{'MNDE-USD'},"{datetime.datetime(2024, 5, 20, 7, 38, 8)}"
{Timedelta('0 days 08:09:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 31, 13, 39, 40)}"
{Timedelta('0 days 00:25:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 19, 9, 21, 28)}"
{Timedelta('0 days 03:40:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 14, 22, 52, 4)}"
{Timedelta('1 days 09:39:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 4, 22, 20, 55)}"
{Timedelta('0 days 05:38:00')},{'ZEN-USD'},"{datetime.datetime(2024, 5, 5, 9, 4, 50)}"
{Timedelta('0 days 06:50:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 20, 9, 12, 7)}"
{Timedelta('0 days 00:04:00')},{'MLN-USD'},"{datetime.datetime(2024, 5, 21, 22, 36, 28)}"
{Timedelta('0 days 08:25:00')},{'SPA-USD'},"{datetime.datetime(2024, 5, 5, 9, 8, 55)}"
{Timedelta('2 days 07:05:00')},{'PLU-USD'},"{datetime.datetime(2024, 5, 24, 23, 40, 37)}"
{Timedelta('2 days 23:41:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 30, 6, 34, 36)}"
{Timedelta('0 days 20:36:00')},{'BAND-USD'},"{datetime.datetime(2024, 5, 4, 21, 5, 19)}"
{Timedelta('0 days 05:25:00')},{'ERN-USD'},"{datetime.datetime(2024, 5, 13, 23, 48, 53)}"
{Timedelta('0 days 10:12:00')},{'MKR-USD'},"{datetime.datetime(2024, 5, 5, 20, 51, 33)}"
{Timedelta('0 days 11:19:00')},{'KRL-USD'},"{datetime.datetime(2024, 5, 5, 18, 41, 52)}"
{Timedelta('0 days 06:37:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 5, 8, 5, 59)}"
{Timedelta('1 days 03:40:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 19, 12, 30, 8)}"
{Timedelta('0 days 13:35:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 4, 22, 32, 31)}"
{Timedelta('1 days 16:16:00')},{'ABT-USD'},"{datetime.datetime(2024, 5, 23, 21, 18, 14)}"
{Timedelta('0 days 02:50:00')},{'WAMPL-USD'},"{datetime.datetime(2024, 5, 20, 7, 17, 50)}"
{Timedelta('1 days 19:05:00')},{'FIDA-USD'},"{datetime.datetime(2024, 5, 13, 19, 6, 36)}"
{Timedelta('0 days 08:05:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 18, 18, 59, 54)}"
{Timedelta('0 days 00:35:00')},{'AUDIO-USD'},"{datetime.datetime(2024, 5, 16, 8, 21, 47)}"
{Timedelta('1 days 03:20:00')},{'SPELL-USD'},"{datetime.datetime(2024, 5, 21, 18, 40, 3)}"
{Timedelta('2 days 19:28:00')},{'ANKR-USD'},"{datetime.datetime(2024, 5, 24, 23, 14, 12)}"
{Timedelta('2 days 05:16:00')},{'ALGO-USD'},"{datetime.datetime(2024, 5, 18, 17, 26, 55)}"
{Timedelta('0 days 02:30:00')},{'BLUR-USD'},"{datetime.datetime(2024, 5, 12, 7, 45, 51)}"
{Timedelta('3 days 23:35:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 5, 20, 51, 37)}"
{Timedelta('0 days 02:58:00')},{'IOTX-USD'},"{datetime.datetime(2024, 5, 5, 11, 57, 37)}"
{Timedelta('0 days 05:20:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 5, 10, 4, 50)}"
{Timedelta('0 days 14:05:00')},{'STX-USD'},"{datetime.datetime(2024, 5, 29, 0, 0, 30)}"
{Timedelta('0 days 05:30:00')},{'FIL-USD'},"{datetime.datetime(2024, 5, 5, 9, 21, 2)}"
{Timedelta('2 days 00:05:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 18, 16, 17, 3)}"
{Timedelta('1 days 03:40:00')},{'LOKA-USD'},"{datetime.datetime(2024, 5, 26, 11, 28, 44)}"
{Timedelta('0 days 01:16:00')},{'GODS-USD'},"{datetime.datetime(2024, 5, 24, 23, 35, 14)}"
{Timedelta('1 days 14:18:00')},{'AAVE-USD'},"{datetime.datetime(2024, 5, 13, 23, 8, 18)}"
{Timedelta('0 days 01:49:00')},{'FET-USD'},"{datetime.datetime(2024, 5, 26, 13, 8, 18)}"
{Timedelta('0 days 12:00:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 14, 22, 22, 23)}"
{Timedelta('0 days 00:30:00')},{'ARKM-USD'},"{datetime.datetime(2024, 5, 20, 6, 58, 18)}"
{Timedelta('0 days 07:07:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 5, 18, 56, 53)}"
{Timedelta('3 days 09:27:00')},{'ALGO-USD'},"{datetime.datetime(2024, 5, 21, 16, 28, 9)}"
{Timedelta('2 days 03:23:00')},{'DNT-USD'},"{datetime.datetime(2024, 5, 18, 16, 9, 20)}"
{Timedelta('0 days 01:30:00')},{'INJ-USD'},"{datetime.datetime(2024, 5, 25, 0, 10, 12)}"
{Timedelta('0 days 04:10:00')},{'LSETH-USD'},"{datetime.datetime(2024, 5, 25, 0, 9, 27)}"
{Timedelta('1 days 07:08:00')},{'NMR-USD'},"{datetime.datetime(2024, 5, 19, 9, 34, 18)}"
{Timedelta('0 days 08:10:00')},{'SOL-USD'},"{datetime.datetime(2024, 5, 11, 20, 47, 52)}"
{Timedelta('0 days 01:30:00')},{'SEI-USD'},"{datetime.datetime(2024, 5, 25, 3, 16, 37)}"
{Timedelta('1 days 05:15:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 19, 10, 47, 30)}"
{Timedelta('1 days 13:03:00')},{'BCH-USD'},"{datetime.datetime(2024, 5, 13, 23, 48, 40)}"
{Timedelta('0 days 05:35:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 24, 23, 14, 39)}"
{Timedelta('0 days 17:29:00')},{'LRC-USD'},"{datetime.datetime(2024, 5, 19, 11, 33, 57)}"
{Timedelta('0 days 02:15:00')},{'ONDO-USD'},"{datetime.datetime(2024, 5, 5, 20, 56, 44)}"
{Timedelta('0 days 05:00:00')},{'ONDO-USD'},"{datetime.datetime(2024, 5, 5, 18, 24, 52)}"
{Timedelta('0 days 05:10:00')},{'SOL-USD'},"{datetime.datetime(2024, 5, 5, 19, 59, 53)}"
{Timedelta('0 days 03:05:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 20, 8, 11, 18)}"
