symbol,bc,ac,tbv,tav,time,mp
AGLD-USD,61079.81,2130539.84,430276.09,214764.90,1718748716982,1.1219
DOT-USD,1342447.26,36190209.34,2484603.99,939679.81,1718748717034,5.738
PIRATE-USD,170803.32,589165.81,1378412.90,1009817.70,1718748717036,0.2092
FORT-USD,69945.76,3838988.29,609505.04,3570488.36,1718748717147,0.1607
AKT-USD,224839.85,2600149.41,365440.30,196687.19,1718748717168,2.766
1INCH-USD,78953.91,8883547.10,268263.54,2973636.03,1718748717228,0.399
BLUR-USD,93160.06,2575111.20,573871.80,1370582.80,1718748717290,0.2523
RONIN-USD,50800.08,1039181.07,24380.00,83440.92,1718748717294,2.29
GFI-USD,363656.72,25164255.43,1437527.32,653672.92,1718748717330,2.3931
MKR-USD,307966.33,4997753.01,138938.98,1156.09,1718748717336,2222.19
KAVA-USD,141946.71,2674029.02,449820.32,724504.67,1718748717464,0.4462
ACS-USD,56180.97,38581670.52,199491397.00,229564566.00,1718748717486,0.0018672
ABT-USD,285304.85,165590892.40,470519.10,1773941.10,1718748717510,2.8125
BIGTIME-USD,256007.09,11900594.96,5785603.00,10370609.00,1718748717514,0.11708
ALEPH-USD,145991.12,117028972.08,1286991.80,2039065.80,1718748717644,0.2358
USDT-USD,6361539.34,50519584.26,83037857.04,14796935.39,1718748717800,0.99946
RAD-USD,73496.42,2229921.29,85584.47,262330.02,1718748717926,1.21
00-USD,34210.44,20767279.14,835112.48,16059776.43,1718748717960,0.0528
ZEC-USD,391341.25,46027180.14,119421.60,50538.78,1718748718165,20.39
MUSE-USD,56259.87,9097532.32,28340.17,62318.15,1718748718940,10.109
CHZ-USD,143032.58,9536819.78,2078290.20,14527954.90,1718748719273,0.0799
MSOL-USD,30459.97,142625.71,3675.65,455.23,1718748719602,163.71
PAX-USD,52872.21,18090959.27,1704775.45,38433.94,1718748720350,0.9996
SAFE-USD,222129.46,3564933.96,169920.67,186981.69,1718748723551,1.3402
LIT-USD,33030.59,726247.16,126033.89,97875.66,1718748723801,0.7655
ARKM-USD,126556.87,3921495.23,88580.13,239302.66,1718748726324,1.57
RAI-USD,39180.08,413154.08,32374.81,22880.71,1718748726361,2.83
FIDA-USD,52692.69,6462834.13,255720.10,1222559.41,1718748728810,0.3201
SHDW-USD,102929.83,1473775.03,580274.66,547342.50,1718748731521,0.462
SAFE-USD,222131.87,3564565.06,169922.60,186701.80,1718748733768,1.3402
GUSD-USD,466361.82,8156391.56,483205.13,185625.85,1718748734452,1
GUSD-USD,466361.82,8156391.56,483205.13,185625.85,1718748735036,1
PYUSD-USD,330507.43,4258651.99,2932146.54,225071.62,1718748735782,0.9987
AAVE-USD,622529.42,11525074.92,196353.16,40937.76,1718748735990,80.87
OMNI-USD,95345.09,303919.99,7514.46,8129.86,1718748737658,13.167
AERGO-USD,50424.99,1000359.16,948054.40,3028284.50,1718748738304,0.0823
WAMPL-USD,122900.25,1632403.68,7234.31,10223.93,1718748738573,26.07
SAFE-USD,222131.87,3564565.06,169922.60,186701.80,1718748739111,1.3402
T-USD,145714.98,17264160.98,21526279.00,9844734.00,1718748740346,0.02234
GUSD-USD,466361.82,8156391.56,483205.13,185625.85,1718748742212,1
DRIFT-USD,633849.07,8004060.08,1641478.55,1413740.30,1718748743283,0.438
GMT-USD,83054.99,3110289.63,894311.85,1935373.02,1718748743405,0.1562
GYEN-USD,9687.17,24868797.62,15691551.00,25989267.00,1718748743789,0.006107
RPL-USD,68435.44,740217.53,4628.59,13217.46,1718748743836,27.3
T-USD,145714.98,17264160.98,21526279.00,9844734.00,1718748744432,0.02234
OGN-USD,40984.04,61049775.67,723796.40,6336597.77,1718748745455,0.09899
PUNDIX-USD,42949.11,1209613.58,1297361.57,272364.96,1718748747172,0.3626
BLUR-USD,93160.06,2574872.79,573871.80,1369640.10,1718748747826,0.2523
WAXL-USD,146388.97,11495570.42,265209.56,200241.46,1718748748063,0.6654
