,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_targets_met_pct,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_area,surge_targets_met_pct.1,label
0,2,1713899164295.0,2.1204,-0.01021972090842892,precursor,2.119,-0.08170528010904443,-0.00807617763954982,-0.10687138573432253,-0.0011644563479529246,2,-0.024472337427654776,2.1204,2.1204,2.119,2.0667,-0.04894467485530955,-0.06602527824937963,3,1713900235840.0,2.0828,0.020106176792465756,surge,2.0667,-0.08170528010904443,-0.00807617763954982,-0.10687138573432253,-0.0011644563479529246,9,0.11122736369030227,2.297,2.0828,2.0667,2.0667,1.0010462732127203,1.0010462732127203,-10.026121027427086,0
1,4,1713903489759.0,2.297,-0.03171917064006835,precursor,2.2886,-0.11861356837119119,0.18289314706057813,-0.09035348515549158,0.2527157251217619,2,-0.03418360633053358,2.297,2.297,2.2886,2.2261,-0.06836721266106716,-0.36569438397910153,5,1713904432606.0,2.2384,0.003309614491892587,surge,2.2261,-0.11861356837119119,0.18289314706057813,-0.09035348515549158,0.2527157251217619,7,0.05702256661616495,2.3589,2.2377,2.2261,2.2261,0.39915796631315464,0.39915796631315464,-5.629742676671331,0
2,6,1713907662159.0,2.3589,-0.0019052900530434624,precursor,2.3601,-0.013709141068533937,0.024914935696300988,-0.012910779141263262,0.05523864294452441,2,-0.0055971394662124975,2.3589,2.3589,2.3601,2.346,-0.011194278932424995,0.05087116876509678,7,1713908358525.0,2.354,0.005168781716622583,surge,2.346,-0.013709141068533937,0.024914935696300988,-0.012910779141263262,0.05523864294452441,3,0.008478456724845896,2.369,2.354,2.346,2.346,0.02543537017453769,0.02543537017453769,-0.9708737864077724,0
3,8,1713909802562.0,2.3642,-0.0019258557586915304,precursor,2.3657,-0.008473814452031547,0.014957275358074451,-0.008958899499499462,0.01740222055605445,1,-0.0019258557586915304,2.3642,2.3642,2.3657,2.3657,-0.0019258557586915304,0.06344640893325679,9,1713910099583.0,2.3615,0.0007837820810174701,surge,2.3657,-0.008473814452031547,0.014957275358074451,-0.008958899499499462,0.01740222055605445,1,0.0007837820810174701,2.3615,2.3615,2.3657,2.3657,0.0007837820810174701,0.0007837820810174701,0.17785305949608224,0
4,10,1713910399728.0,2.3615,-0.0009466902623329942,precursor,2.3643,-0.013519279251897776,-0.0057184225446071935,-0.027064660705181542,-0.014514311341799924,1,-0.0009466902623329942,2.3615,2.3615,2.3643,2.3643,-0.0009466902623329942,0.11856870633072776,11,1713910711971.0,2.3641,0.00029220993121612524,surge,2.3643,-0.013519279251897776,-0.0057184225446071935,-0.027064660705181542,-0.014514311341799924,1,0.00029220993121612524,2.3641,2.3641,2.3643,2.3643,0.00029220993121612524,0.00029220993121612524,0.00845987902372903,0
5,12,1713911408650.0,2.3641,-0.000512069294120876,precursor,2.3619,0.005553002237026483,-0.001964517863410231,0.006281682488343376,-0.0013540319982091598,2,-0.0008423468603263151,2.3641,2.3641,2.3619,2.3604,-0.0016846937206526301,-0.0930586692610381,13,1713911720692.0,2.3604,0.00023301135400777273,surge,2.3604,0.005553002237026483,-0.001964517863410231,0.006281682488343376,-0.0013540319982091598,2,0.0005126221078436633,2.3607,2.3604,2.3604,2.3604,0.0010252442156873265,0.0010252442156873265,-0.012708095056559027,0
6,14,1713911993805.0,2.3607,8.486412464259185e-06,precursor,2.3617,-0.06717338229611192,0.0007876187517265043,-0.06460451480215346,0.0016775507283248725,2,4.2371795157303274e-05,2.3607,2.3607,2.3617,2.3617,8.474359031460655e-05,0.04236031685516541,15,1713912179888.0,2.3796,0.015861455731041273,surge,2.3617,-0.06717338229611192,0.0007876187517265043,-0.06460451480215346,0.0016775507283248725,6,0.03665147984166438,2.45,2.3796,2.3617,2.3617,0.21990887904998627,0.21990887904998627,-3.6040816326530716,0
7,16,1713913416669.0,2.45,-0.015015341435700713,precursor,2.4329,-0.002876361584908116,-0.08859872862132623,0.02437390334648948,-0.13302739443263745,5,-0.03371793697600302,2.45,2.45,2.4329,2.3709,-0.16858968488001508,-0.697959183673474,17,1713914995764.0,2.361,0.0023794249914773635,surge,2.3709,-0.002876361584908116,-0.08859872862132623,0.02437390334648948,-0.13302739443263745,2,0.002611932989221755,2.3808,2.361,2.3709,2.3709,0.00522386597844351,0.00522386597844351,-0.41582661290322664,0
8,18,1713915584366.0,2.3808,-0.002523007919824194,precursor,2.3702,0.7928064226141214,0.5770714236842083,0.7379158537351587,3.8729727118092505,1,-0.002523007919824194,2.3808,2.3808,2.3702,2.3702,-0.002523007919824194,-0.4452284946236442,19,1713916031205.0,2.3643,0.0001661244281073615,surge,2.3702,0.7928064226141214,0.5770714236842083,0.7379158537351587,3.8729727118092505,1,0.0001661244281073615,2.3643,2.3643,2.3702,2.3702,0.0001661244281073615,0.0001661244281073615,0.24954531996785587,0
9,20,1713916391347.0,2.3643,-0.0007630487017462717,precursor,2.3711,-0.1539992132781508,0.02708485991947518,-0.15408581891551199,2.584361377140198,11,-0.056135646171688806,2.3643,2.3643,2.3711,2.2416,-0.6174921078885769,0.2876115552171949,21,1713920356687.0,2.2417,0.002665632802851259,surge,2.2416,-0.1539992132781508,0.02708485991947518,-0.15408581891551199,2.584361377140198,2,0.010882657501926041,2.2717,2.2417,2.2416,2.2416,0.021765315003852082,0.021765315003852082,-1.3249988995025759,0
10,22,1713921034968.0,2.2717,-0.01778582494841725,precursor,2.2255,-0.017569494437012834,3.771065011131636,0.008178270090579809,0.12470762758577925,3,-0.03497583433181619,2.2717,2.2717,2.2255,2.1839,-0.10492750299544856,-2.0337192410969864,23,1713922385796.0,2.1849,0.0007740989600328874,surge,2.1839,-0.017569494437012834,3.771065011131636,0.008178270090579809,0.12470762758577925,1,0.0007740989600328874,2.1849,2.1849,2.1839,2.1839,0.0007740989600328874,0.0007740989600328874,-0.045768685065673026,0
11,24,1713922688968.0,2.1849,-0.000704267098013911,precursor,2.1853,3.627486982356065,0.06786530955145897,2.8337954575470454,3.1980505276262825,2,-0.0009729194140377318,2.1849,2.1849,2.1853,2.1805,-0.0019458388280754635,0.01830747402626921,25,1713923871607.0,2.1866,0.0013569431598379421,surge,2.1805,3.627486982356065,0.06786530955145897,2.8337954575470454,3.1980505276262825,3,0.019110038368378268,2.2019,2.1863,2.1805,2.1805,0.057330115105134805,0.057330115105134805,-0.9718879149825289,0
12,26,1713925264306.0,2.2019,-0.014402525346851446,precursor,2.2173,-0.029832849648447013,-0.013159801982557284,-0.04324764108243395,-0.11104757948132249,3,-0.03305577246188611,2.2019,2.2019,2.2173,2.1466,-0.09916731738565833,0.699395976202354,27,1713926263675.0,2.1514,0.006397244404741209,surge,2.1466,-0.029832849648447013,-0.013159801982557284,-0.04324764108243395,-0.11104757948132249,2,0.010957855324514066,2.1741,2.1514,2.1466,2.1466,0.02191571064902813,0.02191571064902813,-1.2648912193551491,0
13,28,1713927191152.0,2.1741,-0.009259304285895465,precursor,2.1567,-0.02923572501329008,0.00017940396226601152,-0.024491372066517303,0.005250039827672026,1,-0.009259304285895465,2.1741,2.1741,2.1567,2.1567,-0.009259304285895465,-0.8003311715192634,29,1713927413302.0,2.1606,0.0013571053096751884,surge,2.1567,-0.02923572501329008,0.00017940396226601152,-0.024491372066517303,0.005250039827672026,2,0.0020384038052252197,2.1611,2.1606,2.1567,2.1567,0.004076807610450439,0.004076807610450439,-0.20360001850909076,0
14,30,1713928055605.0,2.1611,-0.006181886256479918,precursor,2.159,-0.11606582536708954,0.7590316903788731,-0.0806963738198353,-0.00706244329868333,6,-0.05129275824159787,2.1611,2.1611,2.159,2.0788,-0.3077565494495872,-0.09717273610661195,31,1713931681730.0,2.0567,0.002384474299401207,surge,2.0796,-0.11606582536708954,0.7590316903788731,-0.0806963738198353,-0.00706244329868333,2,0.003945022196754922,2.0567,2.056,2.0796,2.0796,0.007890044393509843,0.007890044393509843,1.1134341420722476,0
15,32,1713932417099.0,2.056,-0.001155542980801083,precursor,2.064,-0.08670456223794765,-0.007631354373878185,-0.07627236561605089,-0.15864197013221248,3,-0.0164384799085315,2.056,2.056,2.064,2.0243,-0.0493154397255945,0.3891050583657591,33,1713934076896.0,2.0236,0.0019506347930989376,surge,2.0243,-0.08670456223794765,-0.007631354373878185,-0.07627236561605089,-0.15864197013221248,7,0.024270527091151538,2.0747,2.0236,2.0243,2.0243,0.16989368963806076,0.16989368963806076,-2.429266881958827,0
16,34,1713937498572.0,2.0747,-0.0003750690886349939,precursor,2.0736,-0.003781406710099189,-0.0012458158211916537,0.0017483597462069067,-0.014216420038918431,4,-0.00725514364076657,2.0747,2.0747,2.0736,2.0591,-0.02902057456306628,-0.05301971369355092,35,1713938894241.0,2.064,0.0010839633882498644,surge,2.0591,-0.003781406710099189,-0.0012458158211916537,0.0017483597462069067,-0.014216420038918431,1,0.0010839633882498644,2.064,2.064,2.0591,2.0591,0.0010839633882498644,0.0010839633882498644,-0.2374031007751999,0
17,36,1713939494469.0,2.064,-0.003784113842098047,precursor,2.0604,-0.1106975120932564,0.005975193643758425,-0.0814135950891719,0.15577518962065962,8,-0.030982450317247168,2.064,2.064,2.0604,1.9995,-0.24785960253797734,-0.1744186046511651,37,1713943207825.0,2.0058,0.003693761320873401,surge,1.9995,-0.1106975120932564,0.005975193643758425,-0.0814135950891719,0.15577518962065962,1,0.003693761320873401,2.0058,2.0058,1.9995,1.9995,0.003693761320873401,0.003693761320873401,-0.3140891414896675,0
18,38,1713943613175.0,2.0058,-0.0006327314637931236,precursor,2.006,5.5761009795702865,0.0012384325617532665,4.524057435678123,1.6319214015220866,8,-0.033835404528995736,2.0058,2.0058,2.006,1.9366,-0.2706832362319659,0.009971083856814139,39,1713947002190.0,1.9414,0.0019355128941161426,surge,1.9366,5.5761009795702865,0.0012384325617532665,4.524057435678123,1.6319214015220866,5,0.03257464664534693,1.9771,1.9414,1.9366,1.9366,0.16287323322673464,0.16287323322673464,-2.0484548075464053,0
19,40,1713949100367.0,1.9771,-0.006733368615286972,precursor,2.0005,-0.13647736824706214,-0.001397850090870234,-0.12342317440510198,-0.01727322571877321,4,-0.024503575804144126,1.9771,1.9771,2.0005,1.9579,-0.0980143032165765,1.1835516665823724,41,1713950952409.0,1.9559,0.003703001636028991,surge,1.9579,-0.13647736824706214,-0.001397850090870234,-0.12342317440510198,-0.01727322571877321,1,0.003703001636028991,1.9559,1.9559,1.9579,1.9579,0.003703001636028991,0.003703001636028991,0.1022547164987986,1
20,42,1713951288728.0,1.9559,-0.004793777202393002,precursor,1.9592,4.889609677398797,0.03279364211392044,4.2227826990555855,2.2554963268158836,3,-0.008797443696346241,1.9559,1.9559,1.9592,1.9461,-0.026392331089038726,0.16872028222302166,43,1713952264238.0,1.9457,0.00024269378555114018,surge,1.9471,4.889609677398797,0.03279364211392044,4.2227826990555855,2.2554963268158836,1,0.00024269378555114018,1.9457,1.9457,1.9471,1.9471,0.00024269378555114018,0.00024269378555114018,0.07195353857223971,0
